Unnamed: 0,index,Hospital Name,Address,State,ZIP Code,County Name,Condition,Measure Name,Score
316,316,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,820 S DAMEN STREET,IL,60612,COOK,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
317,317,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,OH,45220,HAMILTON,Emergency Department (ED) Measures,Median time to pain med,
318,318,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,NY,13210,ONONDAGA,Emergency Department (ED) Measures,Median time to pain med,
319,319,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,VA,23667,HAMPTON CIT,Emergency Department (ED) Measures,Head CT results,
320,320,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Emergency Department (ED) Measures,Head CT results,
321,321,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,KY,40206,JEFFERSON,Emergency Department (ED) Measures,Door to diagnostic eval,
322,322,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,IN,46953,GRANT,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
323,323,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,MA,1053,HAMPSHIRE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
324,324,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
325,325,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Emergency Department (ED) Measures,Head CT results,
326,326,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,493.0
327,327,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,NJ,7018,ESSEX,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
328,328,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,MA,2130,SUFFOLK,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
329,329,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,MA,1730,MIDDLESEX,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
330,330,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,WI,53295,MILWAUKEE,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
331,331,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NY,10010,NEW YORK,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
332,332,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,NC,28301,CUMBERLAND,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,
333,333,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,NC,28301,CUMBERLAND,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
334,334,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,OH,44106,CUYAHOGA,Emergency Department (ED) Measures,Head CT results,
335,335,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NY,10010,NEW YORK,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,74.0
336,336,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,SC,29401,CHARLESTON,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
337,337,LEBANON VA MEDICAL CENTER,1700 SOUTH LINCOLN AVENUE,PA,17042,LEBANON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
338,338,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,VA,24153,SALEM,Emergency Department (ED) Measures,Median time to pain med,
339,339,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,AL,35233,JEFFERSON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
340,340,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Acute Myocardial Infarction (AMI),Median Time to ECG,
341,341,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,NC,28805,BUNCOMBE,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
342,342,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,WV,25801,RALEIGH,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
343,343,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD.,MI,49037,CALHOUN,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
344,344,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,MI,48105,WASHTENAW,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
345,345,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,DC,20422,DISTRICT OF,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
346,346,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Emergency Department (ED) Measures,Head CT results,
347,347,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,WV,25801,RALEIGH,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,72.0
348,348,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,KY,40502,FAYETTE,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
349,349,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,
350,350,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,OH,44106,CUYAHOGA,Acute Myocardial Infarction (AMI),Median Time to ECG,
351,351,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,NC,28805,BUNCOMBE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
352,352,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,MI,49801,DICKINSON,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
353,353,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM,1601 S W ARCHER ROAD,FL,32608,ALACHUA,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
354,354,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,NY,10548,WESTCHESTER,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
355,355,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,MI,48602,SAGINAW,Emergency Department (ED) Measures,Head CT results,
356,356,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,WI,53295,MILWAUKEE,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
357,357,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
358,358,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,GA,30033,DEKALB,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
359,359,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,MA,2130,SUFFOLK,Acute Myocardial Infarction (AMI),Median Time to ECG,
360,360,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,NY,10468,BRONX,Preventative Care Measures,Patients assessed and given influenza vaccination,73.0
361,361,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NY,10010,NEW YORK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
362,362,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,AL,36109,MONTGOMERY,Preventative Care Measures,Patients assessed and given influenza vaccination,74.0
363,363,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,MI,48105,WASHTENAW,Emergency Department (ED) Measures,Head CT results,
364,364,DURHAM VA MEDICAL CENTER,508 FULTON STREET,NC,27705,DURHAM,Acute Myocardial Infarction (AMI),Median Time to ECG,
365,365,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,FL,33612,HILLSBOROUG,Emergency Department (ED) Measures,Head CT results,
366,366,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,SC,29401,CHARLESTON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
367,367,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,WI,53295,MILWAUKEE,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
368,368,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,VA,23667,HAMPTON CIT,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
369,369,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
370,370,CHILLICOTHE VA MEDICAL CENTER,17273 STATE ROUTE 104,OH,45601,ROSS,Emergency Department (ED) Measures,Median time to pain med,
371,371,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,PA,18711,LUZERNE,Preventative Care Measures,Patients assessed and given influenza vaccination,90.0
372,372,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,SC,29209,RICHLAND,Emergency Department (ED) Measures,Door to diagnostic eval,
373,373,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,WV,25405,BERKELEY,Preventative Care Measures,Patients assessed and given influenza vaccination,67.0
374,374,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,NY,14215,ERIE,Emergency Department (ED) Measures,Door to diagnostic eval,
375,375,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,820 S DAMEN STREET,IL,60612,COOK,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
376,376,TOGUS VA MEDICAL CENTER,1 VA CENTER,ME,4330,KENNEBEC,Preventative Care Measures,Patients assessed and given influenza vaccination,86.0
377,377,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NY,10010,NEW YORK,Acute Myocardial Infarction (AMI),Median Time to ECG,
378,378,COATESVILLE VA MEDICAL CENTER,1400 BLACK HORSE HILL ROAD,PA,19320,CHESTER,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
379,379,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,NY,10548,WESTCHESTER,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
380,380,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,MA,2130,SUFFOLK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
381,381,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",AL,35404,TUSCALOOSA,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
382,382,DAYTON VA MEDICAL CENTER,4100 WEST THIRD STREET,OH,45428,MONTGOMERY,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
383,383,W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER,1601 BRENNER AVENUE,NC,28144,ROWAN,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
384,384,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,FL,33612,HILLSBOROUG,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
385,385,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NY,11768,SUFFOLK,Emergency Department (ED) Measures,Door to diagnostic eval,
386,386,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,IL,60064,LAKE,Emergency Department (ED) Measures,Head CT results,
387,387,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,GA,30033,DEKALB,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
388,388,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,NY,10468,BRONX,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,310.0
389,389,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
390,390,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,DC,20422,DISTRICT OF,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
391,391,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,SC,29209,RICHLAND,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
392,392,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,PR,921,SAN JUAN,Preventative Care Measures,Patients assessed and given influenza vaccination,62.0
393,393,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,101.0
394,394,PHILADELPHIA VA MEDICAL CENTER,3900 WOODLAND AVENUE,PA,19104,PHILADELPHI,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
395,395,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,VA,23249,RICHMOND CI,Acute Myocardial Infarction (AMI),Median Time to ECG,
396,396,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,VA,23249,RICHMOND CI,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,312.0
397,397,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
398,398,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,PA,18711,LUZERNE,Emergency Department (ED) Measures,Head CT results,
399,399,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NY,11768,SUFFOLK,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
400,400,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,820 S DAMEN STREET,IL,60612,COOK,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
401,401,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,TN,38104,SHELBY,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
402,402,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,DE,19805,NEW CASTLE,Emergency Department (ED) Measures,Head CT results,
403,403,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,WV,25704,WAYNE,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
404,404,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,NC,28805,BUNCOMBE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,232.0
405,405,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,MA,1730,MIDDLESEX,Preventative Care Measures,Patients assessed and given influenza vaccination,83.0
406,406,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,VA,23249,RICHMOND CI,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,193.0
407,407,JAMES E. VAN ZANDT VA MEDICAL CENTER - ALTOONA,2907 PLEASANT VALLEY BOULEVARD,PA,16602,BLAIR,Acute Myocardial Infarction (AMI),Median Time to ECG,
408,408,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
409,409,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,CT,6516,NEW HAVEN,Emergency Department (ED) Measures,Head CT results,
410,410,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,OH,45220,HAMILTON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
411,411,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,4646 JOHN R.,MI,48201,WAYNE,Preventative Care Measures,Patients assessed and given influenza vaccination,88.0
412,412,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,AL,35233,JEFFERSON,Emergency Department (ED) Measures,Head CT results,
413,413,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,WV,25704,WAYNE,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,133.0
414,414,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,WV,25801,RALEIGH,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
415,415,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,4646 JOHN R.,MI,48201,WAYNE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
416,416,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NY,11768,SUFFOLK,Emergency Department (ED) Measures,Head CT results,
417,417,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,NC,28301,CUMBERLAND,Acute Myocardial Infarction (AMI),Median Time to ECG,
418,418,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Emergency Department (ED) Measures,Median time to pain med,
419,419,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,326.0
420,420,TOGUS VA MEDICAL CENTER,1 VA CENTER,ME,4330,KENNEBEC,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
421,421,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,FL,33125,MIAMI-DADE,Preventative Care Measures,Patients assessed and given influenza vaccination,93.0
422,422,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,VT,5009,WINDSOR,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,196.0
423,423,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,MA,1730,MIDDLESEX,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
424,424,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,MI,48105,WASHTENAW,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
425,425,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
426,426,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,CT,6516,NEW HAVEN,Preventative Care Measures,Patients assessed and given influenza vaccination,91.0
427,427,JAMES E. VAN ZANDT VA MEDICAL CENTER - ALTOONA,2907 PLEASANT VALLEY BOULEVARD,PA,16602,BLAIR,Emergency Department (ED) Measures,Door to diagnostic eval,
428,428,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,WI,53705,DANE,Emergency Department (ED) Measures,Median time to pain med,
429,429,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,820 S DAMEN STREET,IL,60612,COOK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
430,430,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,VT,5009,WINDSOR,Preventative Care Measures,Patients assessed and given influenza vaccination,64.0
431,431,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,NJ,7018,ESSEX,Emergency Department (ED) Measures,Head CT results,
432,432,DURHAM VA MEDICAL CENTER,508 FULTON STREET,NC,27705,DURHAM,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,361.0
433,433,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,OH,44106,CUYAHOGA,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
434,434,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,
435,435,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,NY,10468,BRONX,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
436,436,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,MA,2130,SUFFOLK,Preventative Care Measures,Patients assessed and given influenza vaccination,89.0
437,437,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,TN,38104,SHELBY,Emergency Department (ED) Measures,Door to diagnostic eval,
438,438,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,NY,13210,ONONDAGA,Emergency Department (ED) Measures,Head CT results,
439,439,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,DE,19805,NEW CASTLE,Acute Myocardial Infarction (AMI),Median Time to ECG,
440,440,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,KY,40502,FAYETTE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
441,441,LEBANON VA MEDICAL CENTER,1700 SOUTH LINCOLN AVENUE,PA,17042,LEBANON,Acute Myocardial Infarction (AMI),Median Time to ECG,
442,442,JAMES E. VAN ZANDT VA MEDICAL CENTER - ALTOONA,2907 PLEASANT VALLEY BOULEVARD,PA,16602,BLAIR,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
443,443,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,VA,23249,RICHMOND CI,Emergency Department (ED) Measures,Median time to pain med,
444,444,CHILLICOTHE VA MEDICAL CENTER,17273 STATE ROUTE 104,OH,45601,ROSS,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
445,445,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,MO,65201,BOONE,Emergency Department (ED) Measures,Median time to pain med,
446,446,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,MO,65201,BOONE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,170.0
447,447,PHILADELPHIA VA MEDICAL CENTER,3900 WOODLAND AVENUE,PA,19104,PHILADELPHI,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,379.0
448,448,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",AL,35404,TUSCALOOSA,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
449,449,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,MI,48602,SAGINAW,Emergency Department (ED) Measures,Door to diagnostic eval,
450,450,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NY,11768,SUFFOLK,Acute Myocardial Infarction (AMI),Median Time to ECG,
451,451,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,WV,25704,WAYNE,Emergency Department (ED) Measures,Median time to pain med,
452,452,COATESVILLE VA MEDICAL CENTER,1400 BLACK HORSE HILL ROAD,PA,19320,CHESTER,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
453,453,UPSTATE NEW YORK VA HEALTHCARE SYSTEM - WESTERN NY,3495 BAILEY AVENUE,NY,14215,ERIE,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
454,454,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Emergency Department (ED) Measures,Door to diagnostic eval,
455,455,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,NY,10548,WESTCHESTER,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
456,456,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,MI,48105,WASHTENAW,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
457,457,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,CT,6516,NEW HAVEN,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,292.0
458,458,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",AL,35404,TUSCALOOSA,Emergency Department (ED) Measures,Median time to pain med,
459,459,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,IL,60141,COOK,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
460,460,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,NC,28301,CUMBERLAND,Emergency Department (ED) Measures,Door to diagnostic eval,
461,461,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,IL,60064,LAKE,Emergency Department (ED) Measures,Median time to pain med,
462,462,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,FL,33125,MIAMI-DADE,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
463,463,BATH VA MEDICAL CENTER,76 VETERANS AVE.,NY,14810,STEUBEN,Emergency Department (ED) Measures,Median time to pain med,
464,464,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,IL,60141,COOK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
465,465,ERIE VA MEDICAL CENTER,135 EAST 38TH STREET,PA,16504,ERIE,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
466,466,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,NC,28301,CUMBERLAND,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
467,467,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,CT,6516,NEW HAVEN,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
468,468,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,OH,45220,HAMILTON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,241.0
469,469,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,FL,33612,HILLSBOROUG,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
470,470,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,SC,29209,RICHLAND,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,157.0
471,471,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,AL,36109,MONTGOMERY,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
472,472,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,NY,12208,ALBANY,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
